ID,Min of Date Sent,Max of Date Sent,Days In Production,,,,,,,,
1.05733E+11,7/27/2022,4/28/2023,275,,,,,,,,
1.0613E+11,8/31/2022,5/10/2023,252,,,,,,,,
1.06127E+11,8/31/2022,4/6/2023,218,,,,,,,,
1.06127E+11,8/31/2022,3/30/2023,211,,,,,,,,
1.06127E+11,8/31/2022,3/23/2023,204,,,,,,,,
1.06127E+11,8/31/2022,3/23/2023,204,,,,,,,,
1.06127E+11,8/31/2022,3/23/2023,204,,,,,,,,
1.06129E+11,8/31/2022,3/15/2023,196,,,,,,,,
1.0613E+11,8/31/2022,3/2/2023,183,,,,,,,,
1.0613E+11,8/31/2022,3/2/2023,183,,,,,,,,
1.0613E+11,8/31/2022,2/24/2023,177,,,,,,,,
1.0613E+11,8/31/2022,2/8/2023,161,,,,,,,,
1.0613E+11,8/31/2022,2/8/2023,161,,,,,,,Row Labels,Count of ID
1.0613E+11,8/31/2022,2/8/2023,161,,,,,,,0,132
1.0613E+11,8/31/2022,1/27/2023,149,,,,,,,37,107
1.05733E+11,7/27/2022,12/21/2022,147,,,,,,,15,83
1.06859E+11,10/31/2022,3/23/2023,143,,,,,,,69,74
1.06129E+11,8/31/2022,1/19/2023,141,,,,,,,49,66
1.0686E+11,11/1/2022,3/15/2023,134,,,,,,,58,50
1.0613E+11,8/31/2022,1/10/2023,132,,,,,,,56,47
1.06859E+11,10/31/2022,3/8/2023,128,,,,,,,78,44
1.06859E+11,10/31/2022,3/8/2023,128,,,,,,,50,36
1.06859E+11,10/31/2022,3/8/2023,128,,,,,,,57,32
1.05733E+11,7/27/2022,11/30/2022,126,,,,,,,55,22
1.06859E+11,10/31/2022,3/2/2023,122,,,,,,,72,22
1.06859E+11,10/31/2022,3/2/2023,122,,,,,,,65,21
1.06859E+11,10/31/2022,2/23/2023,115,,,,,,,36,21
1.05733E+11,7/27/2022,11/17/2022,113,,,,,,,1,19
1.05733E+11,7/27/2022,11/17/2022,113,,,,,,,63,19
1.05733E+11,7/27/2022,11/17/2022,113,,,,,,,94,18
1.05733E+11,7/27/2022,11/17/2022,113,,,,,,,91,17
1.05733E+11,7/27/2022,11/17/2022,113,,,,,,,51,17
1.05733E+11,7/27/2022,11/17/2022,113,,,,,,,73,16
1.05733E+11,7/27/2022,11/17/2022,113,,,,,,,10,15
1.05733E+11,7/27/2022,11/11/2022,107,,,,,,,80,12
1.0613E+11,8/31/2022,12/16/2022,107,,,,,,,14,10
1.0613E+11,8/31/2022,12/14/2022,105,,,,,,,98,9
1.0613E+11,8/31/2022,12/12/2022,103,,,,,,,42,9
1.05733E+11,7/27/2022,11/4/2022,100,,,,,,,84,8
1.06859E+11,10/31/2022,2/8/2023,100,,,,,,,88,7
1.06859E+11,10/31/2022,2/8/2023,100,,,,,,,113,7
1.06859E+11,10/31/2022,2/8/2023,100,,,,,,,100,6
1.06859E+11,10/31/2022,2/8/2023,100,,,,,,,74,6
1.06859E+11,10/31/2022,2/8/2023,100,,,,,,,95,5
1.06127E+11,8/31/2022,12/7/2022,98,,,,,,,93,5
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,97,4
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,8,4
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,204,3
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,128,3
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,161,3
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,38,3
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,52,3
1.0613E+11,8/31/2022,12/7/2022,98,,,,,,,89,2
1.06129E+11,8/31/2022,12/6/2022,97,,,,,,,24,2
1.0613E+11,8/31/2022,12/6/2022,97,,,,,,,67,2
1.0613E+11,8/31/2022,12/6/2022,97,,,,,,,43,2
1.0613E+11,8/31/2022,12/6/2022,97,,,,,,,122,2
1.06859E+11,10/31/2022,2/3/2023,95,,,,,,,39,2
1.06859E+11,10/31/2022,2/3/2023,95,,,,,,,68,2
1.06859E+11,10/31/2022,2/3/2023,95,,,,,,,183,2
1.06859E+11,10/31/2022,2/3/2023,95,,,,,,,29,2
1.07165E+11,11/28/2022,3/3/2023,95,,,,,,,107,2
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,54,2
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,211,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,132,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,18,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,79,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,196,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,115,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,28,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,149,1
1.0686E+11,11/1/2022,2/3/2023,94,,,,,,,134,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,275,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,4,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,252,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,218,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,147,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,177,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,105,1
1.07166E+11,11/28/2022,3/2/2023,94,,,,,,,66,1
1.06127E+11,8/31/2022,12/2/2022,93,,,,,,,48,1
1.06127E+11,8/31/2022,12/2/2022,93,,,,,,,16,1
1.06127E+11,8/31/2022,12/2/2022,93,,,,,,,143,1
1.0613E+11,8/31/2022,12/2/2022,93,,,,,,,64,1
1.0613E+11,8/31/2022,12/2/2022,93,,,,,,,103,1
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,59,1
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,40,1
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,86,1
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,141,1
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,126,1
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,85,1
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,Grand Total,1035
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.06127E+11,8/31/2022,11/30/2022,91,,,,,,,,
1.0613E+11,8/31/2022,11/30/2022,91,,,,,,,,
1.0613E+11,8/31/2022,11/30/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/24/2022,89,,,,,,,,
1.05733E+11,7/27/2022,10/24/2022,89,,,,,,,,
1.06859E+11,10/31/2022,1/27/2023,88,,,,,,,,
1.06859E+11,10/31/2022,1/27/2023,88,,,,,,,,
1.07165E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.05733E+11,7/27/2022,10/21/2022,86,,,,,,,,
1.05733E+11,7/27/2022,10/20/2022,85,,,,,,,,
1.05733E+11,7/27/2022,10/19/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.0613E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.0613E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.0613E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06859E+11,10/31/2022,1/19/2023,80,,,,,,,,
1.07165E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07565E+11,1/9/2023,3/30/2023,80,,,,,,,,
1.05733E+11,7/27/2022,10/14/2022,79,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06129E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06129E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.06859E+11,11/7/2022,1/19/2023,73,,,,,,,,
1.07165E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07165E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07165E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.07166E+11,11/28/2022,2/9/2023,73,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.0613E+11,8/31/2022,11/11/2022,72,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/7/2022,68,,,,,,,,
1.06127E+11,8/31/2022,11/7/2022,68,,,,,,,,
1.06859E+11,10/31/2022,1/6/2023,67,,,,,,,,
1.06859E+11,10/31/2022,1/6/2023,67,,,,,,,,
1.07565E+11,1/9/2023,3/16/2023,66,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.06127E+11,8/31/2022,11/3/2022,64,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.07565E+11,1/9/2023,3/9/2023,59,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
